BN	TN	SubNum	group	hand	isTrain	seq	ChunkSize	digitChangePos	digitChangeValue	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
1	1	2	1	2	1	51423252413	2333	7	3	5	1	4	2	3	2	5	2	4	1	3	620.000	2940.000	3560.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	625.000	775.000	1165.000	1380.000	1470.000	1930.000	2050.000	2290.000	3095.000	3290.000	3395.000	3500.000	2940.000	-842150451	-1	6780	-1	-1	1	0	
1	2	2	1	2	1	51423252413	2333	7	2	5	1	4	2	3	2	5	2	4	1	3	390.000	2375.000	2765.000	0	0	3	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	395.000	560.000	955.000	1110.000	1220.000	1680.000	1780.000	1970.000	2445.000	2570.000	2700.000	3500.000	2940.000	-842150451	-1	5985	-1	-1	1	0	
1	3	2	1	2	1	14325242135	2333	7	3	1	4	3	2	5	2	4	2	1	3	5	430.000	2360.000	2790.000	0	0	3	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	435.000	555.000	950.000	1075.000	1155.000	1610.000	1750.000	1890.000	2415.000	2500.000	2590.000	3500.000	2940.000	-842150451	-1	6010	-1	-1	1	0	
1	4	2	1	2	1	51423252413	2333	7	2	5	1	4	2	3	2	5	2	4	1	3	390.000	3280.000	3670.000	1	0	0	5	1	4	3	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	395.000	500.000	885.000	1085.000	1705.000	2225.000	2315.000	2545.000	3245.000	3440.000	3525.000	3500.000	2940.000	-842150451	-1	6890	-1	-1	1	0	
1	5	2	1	2	1	51423252413	2333	5	1	5	1	4	2	3	2	5	2	4	1	3	400.000	2360.000	2760.000	0	0	3	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	405.000	560.000	950.000	1140.000	1280.000	1670.000	1825.000	2025.000	2395.000	2550.000	2630.000	3500.000	2940.000	-842150451	-1	5980	-1	-1	1	0	
1	6	2	1	2	1	13524232514	3332	5	5	1	3	5	2	4	2	3	2	5	1	4	420.000	2320.000	2740.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	425.000	585.000	675.000	1105.000	1275.000	1525.000	1930.000	2100.000	2165.000	2515.000	2600.000	3500.000	2940.000	-842150451	-1	5960	-1	-1	1	0	
1	7	2	1	2	1	13524232514	3332	7	1	1	3	5	2	4	2	3	2	5	1	4	405.000	2215.000	2620.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	410.000	530.000	665.000	1080.000	1245.000	1390.000	1830.000	1955.000	2055.000	2435.000	2465.000	3500.000	2940.000	-842150451	-1	5840	-1	-1	1	0	
1	8	2	1	2	1	41325242351	3332	7	2	4	1	3	2	5	2	4	2	3	5	1	510.000	2110.000	2620.000	0	0	3	4	1	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	515.000	615.000	760.000	1125.000	1260.000	1400.000	1775.000	1845.000	1965.000	2360.000	2480.000	3500.000	2940.000	-842150451	-1	5840	-1	-1	1	0	
1	9	2	1	2	1	14325242135	2333	5	2	1	4	3	2	5	2	4	2	1	3	5	390.000	2255.000	2645.000	0	0	3	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	395.000	530.000	905.000	995.000	1065.000	1545.000	1695.000	1860.000	2215.000	2350.000	2435.000	3500.000	2940.000	-842150451	-1	5865	-1	-1	1	0	
1	10	2	1	2	1	13524232514	3332	9	3	1	3	5	2	4	2	3	2	5	1	4	395.000	2000.000	2395.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	400.000	530.000	585.000	985.000	1135.000	1280.000	1700.000	1805.000	1880.000	2205.000	2250.000	3500.000	2940.000	-842150451	-1	5615	-1	-1	1	0	
