BN	TN	SubNum	group	hand	isTrain	seq	ChunkSize	digitChangePos	digitChangeValue	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
1	1	6	1	2	1	51423252413	2333	7	3	5	1	4	2	3	2	5	2	4	1	3	570.000	2885.000	3455.000	0	0	2	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	575.000	715.000	1380.000	1515.000	1625.000	2210.000	2340.000	2455.000	3100.000	3240.000	3300.000	3500.000	2940.000	-842150451	-1	6675	-1	-1	1	0	
1	2	6	1	2	1	41325242351	3332	7	1	4	1	3	2	5	2	4	2	3	5	1	640.000	2870.000	3510.000	0	0	1	4	1	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	645.000	805.000	905.000	1430.000	1575.000	1720.000	2400.000	2510.000	2635.000	3285.000	3365.000	3500.000	2940.000	-842150451	-1	6730	-1	-1	1	0	
1	3	6	1	2	1	51423252413	2333	5	1	5	1	4	2	3	2	5	2	4	1	3	520.000	3120.000	3640.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	525.000	640.000	1230.000	1340.000	1445.000	1965.000	2085.000	2205.000	3220.000	3380.000	3535.000	3500.000	2940.000	-842150451	-1	6860	-1	-1	1	0	
1	4	6	1	2	1	14325242135	2333	5	1	1	4	3	2	5	2	4	2	1	3	5	565.000	3605.000	4170.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	570.000	670.000	1285.000	1385.000	1520.000	2280.000	2385.000	3160.000	3815.000	3890.000	4035.000	3500.000	2940.000	-842150451	-1	7390	-1	-1	1	0	
1	5	6	1	2	1	51423252413	2333	9	2	5	1	4	2	3	2	5	2	4	1	3	540.000	2895.000	3435.000	0	0	2	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	545.000	690.000	1305.000	1445.000	1555.000	2140.000	2290.000	2435.000	3000.000	3190.000	3260.000	3500.000	2940.000	-842150451	-1	6655	-1	-1	1	0	
1	6	6	1	2	1	14325242135	2333	7	3	1	4	3	2	5	2	4	2	1	3	5	465.000	2770.000	3235.000	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	470.000	560.000	1215.000	1320.000	1450.000	2050.000	2165.000	2300.000	2855.000	2940.000	3070.000	3500.000	2940.000	-842150451	-1	6455	-1	-1	1	0	
1	7	6	1	2	1	13524232514	3332	5	5	1	3	5	2	4	2	3	2	5	1	4	530.000	2770.000	3300.000	0	0	2	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	535.000	635.000	775.000	1390.000	1540.000	1700.000	2235.000	2360.000	2510.000	3065.000	3145.000	3500.000	2940.000	-842150451	-1	6520	-1	-1	1	0	
1	8	6	1	2	1	41325242351	3332	7	2	4	1	3	2	5	2	4	2	3	5	1	560.000	2725.000	3285.000	0	0	2	4	1	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	565.000	695.000	805.000	1340.000	1470.000	1600.000	2305.000	2430.000	2555.000	3055.000	3140.000	3500.000	2940.000	-842150451	-1	6505	-1	-1	1	0	
1	9	6	1	2	1	14325242135	2333	7	5	1	4	3	2	5	2	4	2	1	3	5	515.000	2700.000	3215.000	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	520.000	615.000	1180.000	1280.000	1400.000	1950.000	2065.000	2195.000	2870.000	2930.000	3050.000	3500.000	2940.000	-842150451	-1	6435	-1	-1	1	0	
1	10	6	1	2	1	14325242135	2333	7	5	1	4	3	2	5	2	4	2	1	3	5	620.000	2555.000	3175.000	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	625.000	710.000	1290.000	1365.000	1495.000	2035.000	2130.000	2245.000	2890.000	2915.000	3030.000	3500.000	2940.000	-842150451	-1	6395	-1	-1	1	0	
1	11	6	1	2	1	41325242351	3332	9	5	4	1	3	2	5	2	4	2	3	5	1	685.000	2740.000	3425.000	0	0	2	4	1	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	690.000	825.000	910.000	1395.000	1545.000	1670.000	2315.000	2450.000	2600.000	3160.000	3255.000	3500.000	2940.000	-842150451	-1	6645	-1	-1	1	0	
1	12	6	1	2	1	13524232514	3332	9	2	1	3	5	2	4	2	3	2	5	1	4	575.000	3330.000	3905.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	580.000	640.000	765.000	1350.000	1455.000	2220.000	2730.000	2885.000	3050.000	3670.000	3730.000	3500.000	2940.000	-842150451	-1	7125	-1	-1	1	0	
1	13	6	1	2	1	14325242135	2333	7	5	1	4	3	2	5	2	4	2	1	3	5	475.000	2680.000	3155.000	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	480.000	585.000	1165.000	1250.000	1375.000	2010.000	2110.000	2250.000	2790.000	2865.000	2980.000	3500.000	2940.000	-842150451	-1	6375	-1	-1	1	0	
1	14	6	1	2	1	41325242351	3332	9	5	4	1	3	2	5	2	4	2	3	5	1	575.000	3500.000	4075.000	1	0	0	4	2	3	2	1	5	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	580.000	705.000	1220.000	1845.000	1990.000	2425.000	3010.000	3195.000	3340.000	3825.000	3930.000	3500.000	2940.000	-842150451	-1	7295	-1	-1	1	0	
1	15	6	1	2	1	51423252413	2333	5	1	5	1	4	2	3	2	5	2	4	1	3	535.000	2905.000	3440.000	0	0	2	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	540.000	680.000	1235.000	1375.000	1485.000	2100.000	2235.000	2365.000	2980.000	3180.000	3255.000	3500.000	2940.000	-842150451	-1	6660	-1	-1	1	0	
1	16	6	1	2	1	41325242351	3332	5	3	4	1	3	2	5	2	4	2	3	5	1	555.000	2725.000	3280.000	0	0	2	4	1	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	560.000	790.000	860.000	1380.000	1515.000	1640.000	2220.000	2370.000	2480.000	3040.000	3145.000	3500.000	2940.000	-842150451	-1	6500	-1	-1	1	0	
1	17	6	1	2	1	13524232514	3332	5	1	1	3	5	2	4	2	3	2	5	1	4	540.000	2815.000	3355.000	0	0	2	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	545.000	635.000	750.000	1295.000	1455.000	1640.000	2185.000	2335.000	2490.000	3065.000	3165.000	3500.000	2940.000	-842150451	-1	6575	-1	-1	1	0	
1	18	6	1	2	1	51423252413	2333	7	3	5	1	4	2	3	2	5	2	4	1	3	515.000	2825.000	3340.000	0	0	2	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	520.000	645.000	1250.000	1380.000	1490.000	2060.000	2185.000	2305.000	2980.000	3120.000	3175.000	3500.000	2940.000	-842150451	-1	6560	-1	-1	1	0	
1	19	6	1	2	1	13524232514	3332	7	2	1	3	5	2	4	2	3	2	5	1	4	610.000	2885.000	3495.000	0	0	2	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	615.000	695.000	860.000	1330.000	1500.000	1645.000	2415.000	2525.000	2700.000	3200.000	3300.000	3500.000	2940.000	-842150451	-1	6715	-1	-1	1	0	
1	20	6	1	2	1	13524232514	3332	9	2	1	3	5	2	4	2	3	2	5	1	4	515.000	2835.000	3350.000	0	0	2	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	520.000	575.000	685.000	1265.000	1430.000	1565.000	2180.000	2280.000	2480.000	3110.000	3160.000	3500.000	2940.000	-842150451	-1	6570	-1	-1	1	0	
2	1	6	1	2	1	14325242135	2333	7	2	1	4	3	2	5	2	4	2	1	3	5	610.000	3080.000	3690.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	615.000	715.000	1250.000	1335.000	1460.000	2120.000	2205.000	2895.000	3360.000	3415.000	3535.000	3500.000	2940.000	-842150451	-1	6910	-1	-1	1	0	
2	2	6	1	2	1	14325242135	2333	9	3	1	4	3	2	5	2	4	2	1	3	5	535.000	2685.000	3220.000	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	540.000	680.000	1215.000	1330.000	1480.000	2045.000	2140.000	2290.000	2815.000	2895.000	3055.000	3500.000	2940.000	-842150451	-1	6440	-1	-1	1	0	
2	3	6	1	2	1	51423252413	2333	9	1	5	1	4	2	3	2	5	2	4	1	3	585.000	3400.000	3985.000	1	0	0	5	1	4	2	3	2	5	2	1	1	3	2	2	2	2	2	2	2	2	2	2	2	590.000	700.000	1270.000	1380.000	1500.000	2110.000	2245.000	2360.000	2935.000	3765.000	3850.000	3500.000	2940.000	-842150451	-1	7205	-1	-1	1	0	
2	4	6	1	2	1	41325242351	3332	5	3	4	1	3	2	5	2	4	2	3	5	1	535.000	2655.000	3190.000	0	0	2	4	1	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	540.000	685.000	765.000	1260.000	1400.000	1520.000	2135.000	2270.000	2395.000	2950.000	3045.000	3500.000	2940.000	-842150451	-1	6410	-1	-1	1	0	
