BN	TN	SubNum	group	hand	isTrain	seq	ChunkSize	digitChangePos	digitChangeValue	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
1	1	4	1	2	1	14325242135	2333	7	5	1	4	3	2	5	2	4	2	1	3	5	480.000	3325.000	3805.000	1	0	0	1	4	3	2	5	2	4	2	3	5	5	2	2	2	2	2	2	2	2	2	2	2	485.000	540.000	1225.000	1315.000	1440.000	2050.000	2210.000	2365.000	2865.000	2945.000	3720.000	3097.500	2891.000	-842150451	-1	7025	-1	-1	1	0	
1	2	4	1	2	1	41325242351	3332	5	2	4	1	3	2	5	2	4	2	3	5	1	550.000	3060.000	3610.000	1	0	0	4	1	3	2	5	2	3	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	555.000	690.000	805.000	1225.000	1360.000	1520.000	2020.000	2830.000	2920.000	3375.000	3485.000	3097.500	2891.000	-842150451	-1	6830	-1	-1	1	0	
1	3	4	1	2	1	41325242351	3332	9	5	4	1	3	2	5	2	4	2	3	5	1	630.000	2825.000	3455.000	0	0	1	4	1	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	635.000	690.000	810.000	1235.000	1410.000	1565.000	2530.000	2620.000	2765.000	3185.000	3325.000	3097.500	2891.000	-842150451	-1	6675	-1	-1	1	0	
1	4	4	1	2	1	14325242135	2333	9	4	1	4	3	2	5	2	4	2	1	3	5	615.000	2515.000	3130.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	620.000	705.000	1110.000	1195.000	1345.000	1890.000	2065.000	2210.000	2825.000	2915.000	3005.000	3097.500	2891.000	-842150451	-1	6350	-1	-1	1	0	
1	5	4	1	2	1	41325242351	3332	5	2	4	1	3	2	5	2	4	2	3	5	1	815.000	2650.000	3465.000	0	0	1	4	1	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	820.000	940.000	1040.000	1500.000	1685.000	1850.000	2520.000	2595.000	2755.000	3215.000	3330.000	3097.500	2891.000	-842150451	-1	6685	-1	-1	1	0	
1	6	4	1	2	1	13524232514	3332	5	1	1	3	5	2	4	2	3	2	5	1	4	885.000	2665.000	3550.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	890.000	960.000	1050.000	1855.000	2015.000	2150.000	2625.000	2715.000	2840.000	3385.000	3450.000	3097.500	2891.000	-842150451	-1	6770	-1	-1	1	0	
1	7	4	1	2	1	14325242135	2333	5	1	1	4	3	2	5	2	4	2	1	3	5	490.000	2235.000	2725.000	0	0	3	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	495.000	615.000	910.000	1010.000	1150.000	1780.000	1925.000	2085.000	2485.000	2510.000	2605.000	3097.500	2891.000	-842150451	-1	5945	-1	-1	1	0	
1	8	4	1	2	1	41325242351	3332	9	5	4	1	3	2	5	2	4	2	3	5	1	690.000	2655.000	3345.000	0	0	1	4	1	3	2	5	2	4	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	695.000	795.000	890.000	1310.000	1465.000	1640.000	2370.000	2475.000	2575.000	3155.000	3280.000	3097.500	2891.000	-842150451	-1	6565	-1	-1	1	0	
1	9	4	1	2	1	14325242135	2333	9	4	1	4	3	2	5	2	4	2	1	3	5	625.000	2290.000	2915.000	0	0	2	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	630.000	795.000	1140.000	1235.000	1370.000	1755.000	1930.000	2095.000	2635.000	2700.000	2780.000	3097.500	2891.000	-842150451	-1	6135	-1	-1	1	0	
1	10	4	1	2	1	41325242351	3332	9	5	4	1	3	2	5	2	4	2	3	5	1	585.000	2440.000	3025.000	1	0	0	4	1	3	2	5	2	5	2	3	5	1	2	2	2	2	2	2	2	2	2	2	2	590.000	670.000	785.000	1085.000	1160.000	1345.000	1465.000	2160.000	2285.000	2805.000	2890.000	3097.500	2891.000	-842150451	-1	6245	-1	-1	1	0	
