BN	TN	SubNum	group	hand	isTrain	seq	ChunkSize	digitChangePos	digitChangeValue	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
9	18	5	0	2	0	13524232514	2333	5	5	1	3	5	2	4	5	3	2	5	1	4	755.000	2955.000	3710.000	0	0	1	1	3	5	2	4	5	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	760.000	795.000	985.000	1480.000	1735.000	1970.000	2520.000	2750.000	3080.000	3315.000	3535.000	3500.000	2940.000	-842150451	-1	6930	-1	-1	1	0	
9	19	5	0	2	0	13524232514	2333	5	2	1	3	5	2	4	2	3	2	5	1	4	655.000	3115.000	3770.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	660.000	735.000	925.000	1405.000	1535.000	1735.000	2595.000	2690.000	3010.000	3365.000	3570.000	3500.000	2940.000	-842150451	-1	6990	-1	-1	1	0	
9	20	5	0	2	0	12121234151	2333	5	2	1	2	1	2	1	2	3	4	1	5	1	635.000	4525.000	5160.000	0	0	1	1	2	1	2	1	2	3	4	1	5	1	2	2	2	2	2	2	2	2	2	2	2	640.000	885.000	1090.000	1695.000	1865.000	2405.000	2725.000	3630.000	3860.000	4530.000	4980.000	3500.000	2940.000	-842150451	-1	8380	-1	-1	1	0	
9	21	5	0	2	0	14325242135	3332	7	2	1	4	3	2	5	2	4	2	1	3	5	575.000	3495.000	4070.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	580.000	790.000	940.000	1700.000	2005.000	2250.000	2815.000	3120.000	3495.000	3750.000	3895.000	3500.000	2940.000	-842150451	-1	7290	-1	-1	1	0	
9	22	5	0	2	0	51423252413	3332	7	2	5	1	4	2	3	2	5	2	4	1	3	620.000	3405.000	4025.000	1	0	-1	5	1	4	2	3	2	5	2	4	1	4	2	2	2	2	2	2	2	2	2	2	2	625.000	790.000	1035.000	1380.000	1565.000	1750.000	2315.000	2555.000	2920.000	3500.000	3850.000	3500.000	2940.000	-842150451	-1	7245	-1	-1	1	0	
9	23	5	0	2	0	51423252413	3332	9	5	5	1	4	2	3	2	5	2	4	5	3	570.000	4770.000	5340.000	0	0	1	5	1	4	2	3	2	5	2	4	5	3	2	2	2	2	2	2	2	2	2	2	2	575.000	730.000	1580.000	1950.000	2175.000	2345.000	2720.000	2960.000	3205.000	4370.000	5215.000	3500.000	2940.000	-842150451	-1	8560	-1	-1	1	0	
9	24	5	0	2	0	35421252143	2333	7	4	3	5	4	2	1	2	5	4	1	4	3	1010.000	3940.000	4950.000	1	0	-1	3	5	4	2	1	2	5	4	2	4	3	2	2	2	2	2	2	2	2	2	2	2	1015.000	1145.000	1690.000	1935.000	2205.000	2700.000	2970.000	3430.000	3850.000	4130.000	4815.000	3500.000	2940.000	-842150451	-1	8170	-1	-1	1	0	
10	1	5	0	2	0	13524232514	2333	5	2	1	3	5	2	4	2	3	2	5	1	4	790.000	3250.000	4040.000	1	0	-1	1	3	5	2	4	2	4	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	795.000	860.000	1060.000	1400.000	1635.000	1750.000	2390.000	2600.000	3200.000	3605.000	3870.000	3500.000	2940.000	-842150451	-1	7260	-1	-1	1	0	
10	2	5	0	2	0	35421252143	2333	9	5	3	5	4	2	1	2	5	2	1	5	3	1055.000	3875.000	4930.000	1	0	-1	3	5	2	2	1	2	5	2	1	5	3	2	2	2	2	2	2	2	2	2	2	2	1060.000	1180.000	1440.000	2655.000	2960.000	3190.000	3550.000	3865.000	4115.000	4590.000	4790.000	3500.000	2940.000	-842150451	-1	8150	-1	-1	1	0	
10	3	5	0	2	0	51423252413	3332	9	1	5	1	4	2	3	2	5	2	4	1	3	555.000	3460.000	4015.000	1	0	-1	5	2	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	560.000	755.000	1465.000	1915.000	2245.000	2470.000	2745.000	3060.000	3350.000	3660.000	3885.000	3500.000	2940.000	-842150451	-1	7235	-1	-1	1	0	
10	4	5	0	2	0	35421252143	2333	5	2	3	5	4	2	1	2	5	2	1	4	3	845.000	3955.000	4800.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	850.000	975.000	1390.000	1560.000	1780.000	2405.000	2575.000	2760.000	2955.000	4020.000	4670.000	3500.000	2940.000	-842150451	-1	8020	-1	-1	1	0	
10	5	5	0	2	0	25132151454	3332	7	2	2	5	1	3	2	1	5	2	4	5	4	800.000	5100.000	5900.000	1	0	-1	2	5	1	4	2	1	5	2	4	5	4	2	2	2	2	2	2	2	2	2	2	2	805.000	965.000	1965.000	2485.000	3910.000	3990.000	4535.000	4815.000	5065.000	5375.000	5720.000	3500.000	2940.000	-842150451	-1	9120	-1	-1	1	0	
10	6	5	0	2	0	13524232514	2333	7	2	1	3	5	2	4	2	3	2	5	1	4	745.000	3725.000	4470.000	1	0	-1	1	3	5	2	4	2	3	2	4	1	4	2	2	2	2	2	2	2	2	2	2	2	750.000	825.000	995.000	1590.000	1745.000	1870.000	2465.000	2660.000	3245.000	4020.000	4285.000	3500.000	2940.000	-842150451	-1	7690	-1	-1	1	0	
10	7	5	0	2	0	14325242135	3332	5	3	1	4	3	2	5	3	4	2	1	3	5	810.000	3000.000	3810.000	0	0	1	1	4	3	2	5	3	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	815.000	945.000	1075.000	1565.000	1795.000	2335.000	2630.000	2955.000	3135.000	3485.000	3600.000	3500.000	2940.000	-842150451	-1	7030	-1	-1	1	0	
