BN	TN	SubNum	group	hand	isTrain	seq	ChunkSize	digitChangePos	digitChangeValue	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
1	1	3	0	2	1	14325242135	3332	7	3	1	4	3	2	5	2	4	2	1	3	5	865.000	4965.000	5830.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	870.000	1815.000	2355.000	3020.000	3305.000	3560.000	4300.000	4560.000	4830.000	5405.000	5670.000	3500.000	2940.000	-842150451	-1	9050	-1	-1	1	0	
1	2	3	0	2	1	14325242135	3332	7	2	1	4	3	2	5	2	4	2	1	3	5	705.000	3495.000	4200.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	710.000	1025.000	1265.000	1785.000	2005.000	2225.000	2855.000	3075.000	3295.000	3875.000	4105.000	3500.000	2940.000	-842150451	-1	7420	-1	-1	1	0	
1	3	3	0	2	1	35421252143	2333	7	4	3	5	4	2	1	2	5	2	1	4	3	745.000	3980.000	4725.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	750.000	1000.000	1655.000	1875.000	2115.000	2710.000	2940.000	3095.000	3900.000	4220.000	4610.000	3500.000	2940.000	-842150451	-1	7945	-1	-1	1	0	
1	4	3	0	2	1	35421252143	2333	5	2	3	5	4	2	1	2	5	2	1	4	3	710.000	3420.000	4130.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	715.000	960.000	1555.000	1755.000	1910.000	2420.000	2645.000	2780.000	3460.000	3750.000	4025.000	3500.000	2940.000	-842150451	-1	7350	-1	-1	1	0	
1	5	3	0	2	1	51423252413	3332	7	1	5	1	4	2	3	2	5	2	4	1	3	740.000	4090.000	4830.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	745.000	1325.000	1560.000	2215.000	2465.000	2670.000	3305.000	3640.000	3875.000	4400.000	4715.000	3500.000	2940.000	-842150451	-1	8050	-1	-1	1	0	
1	6	3	0	2	1	13524232514	2333	5	5	1	3	5	2	4	2	3	2	5	1	4	895.000	4755.000	5650.000	1	0	0	1	3	5	2	4	2	3	2	5	4	4	2	2	2	2	2	2	2	2	2	2	2	900.000	1100.000	1795.000	2085.000	2340.000	3020.000	3240.000	3445.000	4145.000	4785.000	5525.000	3500.000	2940.000	-842150451	-1	8870	-1	-1	1	0	
1	7	3	0	2	1	13524232514	2333	5	1	1	3	5	2	4	2	3	2	5	1	4	740.000	4125.000	4865.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	745.000	980.000	1635.000	1940.000	2295.000	3060.000	3300.000	3550.000	4145.000	4450.000	4740.000	3500.000	2940.000	-842150451	-1	8085	-1	-1	1	0	
1	8	3	0	2	1	35421252143	2333	9	5	3	5	4	2	1	2	5	2	1	4	3	720.000	3360.000	4080.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	725.000	955.000	1570.000	1770.000	1935.000	2520.000	2750.000	2975.000	3515.000	3750.000	3970.000	3500.000	2940.000	-842150451	-1	7300	-1	-1	1	0	
1	9	3	0	2	1	51423252413	3332	9	1	5	1	4	2	3	2	5	2	4	1	3	815.000	3615.000	4430.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	820.000	1270.000	1500.000	2065.000	2320.000	2540.000	3100.000	3350.000	3570.000	4130.000	4320.000	3500.000	2940.000	-842150451	-1	7650	-1	-1	1	0	
1	10	3	0	2	1	51423252413	3332	5	1	5	1	4	2	3	2	5	2	4	1	3	725.000	3905.000	4630.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	730.000	1130.000	1460.000	1995.000	2245.000	2490.000	3085.000	3395.000	3660.000	4290.000	4530.000	3500.000	2940.000	-842150451	-1	7850	-1	-1	1	0	
1	11	3	0	2	1	51423252413	3332	9	1	5	1	4	2	3	2	5	2	4	1	3	930.000	3625.000	4555.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	935.000	1220.000	1445.000	2045.000	2315.000	2565.000	3135.000	3400.000	3620.000	4240.000	4450.000	3500.000	2940.000	-842150451	-1	7775	-1	-1	1	0	
1	12	3	0	2	1	51423252413	3332	7	1	5	1	4	2	3	2	5	2	4	1	3	1065.000	4415.000	5480.000	1	0	0	5	1	4	2	3	2	5	4	4	1	3	2	2	2	2	2	2	2	2	2	2	2	1070.000	1455.000	1755.000	2335.000	2560.000	2780.000	3400.000	3905.000	4585.000	5145.000	5375.000	3500.000	2940.000	-842150451	-1	8700	-1	-1	1	0	
1	13	3	0	2	1	13524232514	2333	7	2	1	3	5	2	4	2	3	2	5	1	4	770.000	4010.000	4780.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	775.000	945.000	1705.000	1885.000	2045.000	2740.000	2915.000	3045.000	3970.000	4255.000	4645.000	3500.000	2940.000	-842150451	-1	8000	-1	-1	1	0	
1	14	3	0	2	1	35421252143	2333	7	2	3	5	4	2	1	2	5	2	1	4	3	750.000	3395.000	4145.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	755.000	975.000	1620.000	1785.000	1965.000	2520.000	2785.000	2920.000	3595.000	3800.000	4005.000	3500.000	2940.000	-842150451	-1	7365	-1	-1	1	0	
1	15	3	0	2	1	14325242135	3332	7	5	1	4	3	2	5	2	4	2	1	3	5	785.000	3580.000	4365.000	1	0	0	1	4	3	2	5	2	4	2	1	3	4	2	2	2	2	2	2	2	2	2	2	2	790.000	1035.000	1465.000	2010.000	2230.000	2455.000	3035.000	3255.000	3480.000	4015.000	4225.000	3500.000	2940.000	-842150451	-1	7585	-1	-1	1	0	
1	16	3	0	2	1	14325242135	3332	5	3	1	4	3	2	5	2	4	2	1	3	5	705.000	3805.000	4510.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	710.000	935.000	1180.000	1890.000	2115.000	2355.000	3010.000	3240.000	3505.000	4200.000	4385.000	3500.000	2940.000	-842150451	-1	7730	-1	-1	1	0	
1	17	3	0	2	1	13524232514	2333	5	5	1	3	5	2	4	2	3	2	5	1	4	710.000	4240.000	4950.000	1	0	0	1	3	5	2	4	3	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	715.000	890.000	1590.000	1845.000	2115.000	2610.000	3220.000	3500.000	4120.000	4530.000	4850.000	3500.000	2940.000	-842150451	-1	8170	-1	-1	1	0	
1	18	3	0	2	1	14325242135	3332	9	4	1	4	3	2	5	2	4	2	1	3	5	885.000	3545.000	4430.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	890.000	1125.000	1375.000	1880.000	2105.000	2380.000	3005.000	3240.000	3490.000	4085.000	4300.000	3500.000	2940.000	-842150451	-1	7650	-1	-1	1	0	
1	19	3	0	2	1	13524232514	2333	9	3	1	3	5	2	4	2	3	2	5	1	4	680.000	4210.000	4890.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	685.000	905.000	1675.000	1980.000	2215.000	2760.000	2995.000	3225.000	3865.000	4240.000	4765.000	3500.000	2940.000	-842150451	-1	8110	-1	-1	1	0	
1	20	3	0	2	1	35421252143	2333	5	4	3	5	4	2	1	2	5	2	1	4	3	730.000	4095.000	4825.000	1	0	0	3	5	4	2	1	2	4	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	735.000	995.000	1590.000	1840.000	2115.000	2635.000	2900.000	3435.000	4080.000	4500.000	4755.000	3500.000	2940.000	-842150451	-1	8045	-1	-1	1	0	
2	1	3	0	2	1	13524232514	2333	9	2	1	3	5	2	4	2	3	2	5	1	4	985.000	3970.000	4955.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	990.000	1165.000	2005.000	2245.000	2450.000	3185.000	3405.000	3645.000	4290.000	4650.000	4865.000	3500.000	2940.000	-842150451	-1	8175	-1	-1	1	0	
2	2	3	0	2	1	14325242135	3332	9	2	1	4	3	2	5	2	4	2	1	3	5	880.000	4790.000	5670.000	1	0	0	1	4	3	5	2	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	885.000	1110.000	1375.000	2120.000	2810.000	3525.000	4230.000	4475.000	4765.000	5340.000	5555.000	3500.000	2940.000	-842150451	-1	8890	-1	-1	1	0	
2	3	3	0	2	1	51423252413	3332	9	2	5	1	4	2	3	2	5	2	4	1	3	805.000	4395.000	5200.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	810.000	1515.000	1825.000	2400.000	2675.000	2990.000	3620.000	4025.000	4270.000	4820.000	5085.000	3500.000	2940.000	-842150451	-1	8420	-1	-1	1	0	
