BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,isTrialError,timingError,IPI_Number,IPI_Value,N,Press_Number,Press_Value,Response_Number,Response_Value,isPressError
2,19,1,0,2,1,51423252413,3332,9,2,1,0,IPI1,155.0,2,press2,1,response2,1,False
2,20,1,0,2,1,35421252143,2333,5,2,0,0,IPI1,95.0,2,press2,5,response2,5,False
3,1,1,0,2,1,35421252143,2333,5,2,0,0,IPI1,130.0,2,press2,5,response2,5,False
3,2,1,0,2,1,13524232514,2333,9,2,0,0,IPI1,40.0,2,press2,3,response2,3,False
3,3,1,0,2,1,13524232514,2333,5,5,0,0,IPI1,50.0,2,press2,3,response2,3,False
3,4,1,0,2,1,51423252413,3332,9,1,1,0,IPI1,190.0,2,press2,1,response2,1,False
3,5,1,0,2,1,35421252143,2333,7,4,0,0,IPI1,85.0,2,press2,5,response2,5,False
3,6,1,0,2,1,35421252143,2333,9,2,0,0,IPI1,115.0,2,press2,5,response2,5,False
3,7,1,0,2,1,51423252413,3332,7,2,0,0,IPI1,125.0,2,press2,1,response2,1,False
3,8,1,0,2,1,13524232514,2333,5,1,1,0,IPI1,70.0,2,press2,3,response2,3,False
3,9,1,0,2,1,14325242135,3332,9,2,0,0,IPI1,765.0,2,press2,4,response2,4,False
3,10,1,0,2,1,35421252143,2333,5,4,0,0,IPI1,100.0,2,press2,5,response2,5,False
3,11,1,0,2,1,51423252413,3332,5,1,0,0,IPI1,130.0,2,press2,1,response2,1,False
3,12,1,0,2,1,14325242135,3332,9,3,1,0,IPI1,95.0,2,press2,4,response2,4,False
3,13,1,0,2,1,35421252143,2333,7,2,1,0,IPI1,120.0,2,press2,5,response2,5,False
3,14,1,0,2,1,51423252413,3332,9,5,0,0,IPI1,220.0,2,press2,1,response2,1,False
3,15,1,0,2,1,14325242135,3332,7,3,1,0,IPI1,75.0,2,press2,4,response2,4,False
3,16,1,0,2,1,14325242135,3332,9,3,1,0,IPI1,90.0,2,press2,4,response2,4,False
3,17,1,0,2,1,13524232514,2333,9,1,0,0,IPI1,70.0,2,press2,3,response2,3,False
3,18,1,0,2,1,13524232514,2333,9,3,1,0,IPI1,90.0,2,press2,3,response2,3,False
3,19,1,0,2,1,14325242135,3332,7,2,1,0,IPI1,145.0,2,press2,4,response2,4,False
3,20,1,0,2,1,51423252413,3332,7,1,0,0,IPI1,245.0,2,press2,1,response2,1,False
4,1,1,0,2,1,51423252413,3332,5,2,0,0,IPI1,175.0,2,press2,1,response2,1,False
4,2,1,0,2,1,14325242135,3332,5,1,0,0,IPI1,130.0,2,press2,4,response2,4,False
4,3,1,0,2,1,35421252143,2333,9,2,1,0,IPI1,95.0,2,press2,5,response2,5,False
4,4,1,0,2,1,35421252143,2333,7,3,0,0,IPI1,125.0,2,press2,5,response2,5,False
4,5,1,0,2,1,14325242135,3332,9,2,0,0,IPI1,160.0,2,press2,4,response2,4,False
4,6,1,0,2,1,14325242135,3332,7,2,0,0,IPI1,390.0,2,press2,4,response2,4,False
4,7,1,0,2,1,13524232514,2333,9,2,0,0,IPI1,255.0,2,press2,3,response2,3,False
4,8,1,0,2,1,35421252143,2333,7,4,1,0,IPI1,130.0,2,press2,5,response2,5,False
4,9,1,0,2,1,14325242135,3332,7,5,1,0,IPI1,320.0,2,press2,4,response2,3,True
4,10,1,0,2,1,35421252143,2333,7,4,0,0,IPI1,165.0,2,press2,5,response2,5,False
4,11,1,0,2,1,51423252413,3332,9,2,0,0,IPI1,260.0,2,press2,1,response2,1,False
4,12,1,0,2,1,13524232514,2333,7,4,1,0,IPI1,145.0,2,press2,3,response2,3,False
4,13,1,0,2,1,51423252413,3332,5,1,0,0,IPI1,110.0,2,press2,1,response2,1,False
4,14,1,0,2,1,35421252143,2333,7,2,0,0,IPI1,100.0,2,press2,5,response2,5,False
4,15,1,0,2,1,51423252413,3332,5,4,0,0,IPI1,130.0,2,press2,1,response2,1,False
4,16,1,0,2,1,51423252413,3332,9,2,0,0,IPI1,140.0,2,press2,1,response2,1,False
4,17,1,0,2,1,13524232514,2333,7,1,1,0,IPI1,75.0,2,press2,3,response2,3,False
4,18,1,0,2,1,14325242135,3332,5,3,1,0,IPI1,320.0,2,press2,4,response2,4,False
4,19,1,0,2,1,13524232514,2333,7,1,0,0,IPI1,75.0,2,press2,3,response2,3,False
